Class,Type,Section,Time,Day,Location,Instructor
AAS 100,Lecture-Discussion,AB,02:00PM - 03:20PM,MW,304 Noyes Laboratory,"Geng, C"
AAS 100,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,"1030 Literatures, Cultures, & Ling","Siglos, D Wang, Y"
AAS 100,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,"1030 Literatures, Cultures, & Ling","Siglos, D Wang, Y"
AAS 100,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,"1030 Literatures, Cultures, & Ling","Kim, G Siglos, D"
AAS 100,Discussion/ Recitation,AD4,12:00PM - 12:50PM,F,"1030 Literatures, Cultures, & Ling","Kim, G Siglos, D"
AAS 100,Discussion/ Recitation,AD5,01:00PM - 01:50PM,F,"1030 Literatures, Cultures, & Ling","Mukhopadhyay, A Siglos, D"
AAS 100,Discussion/ Recitation,AD6,02:00PM - 02:50PM,F,"1030 Literatures, Cultures, & Ling","Mukhopadhyay, A Siglos, D"
AAS 100,Discussion/ Recitation,AD7,10:00AM - 10:50AM,F,1057 Lincoln Hall,"Charity, H Siglos, D"
AAS 100,Discussion/ Recitation,AD8,11:00AM - 11:50AM,F,1057 Lincoln Hall,"Charity, H Siglos, D"
AAS 100,Discussion/ Recitation,AD9,01:00PM - 01:50PM,F,113 Davenport Hall,"Roy, S Siglos, D"
AAS 100,Discussion/ Recitation,ADA,02:00PM - 02:50PM,F,113 Davenport Hall,"Roy, S Siglos, D"
AAS 100,Lecture,AL1,10:00AM - 10:50AM,MW,2079 Natural History Building,"Siglos, D"
AAS 200,Lecture-Discussion,A,12:30PM - 01:50PM,TR,148 Armory,"Sawada, E"
AAS 201,Online,OL1,ARRANGED,n.a.,n.a.,"Lee, Y"
AAS 201,Online,OL2,ARRANGED,n.a.,n.a.,"Nie, Q"
AAS 211,Lecture-Discussion,A,03:30PM - 04:50PM,TR,"G18 Literatures, Cultures, & Ling","Sawada, E"
AAS 215,Lecture-Discussion,A,11:00AM - 12:20PM,TR,207 Psychology Building,"Siglos, D"
AAS 275,Lecture-Discussion,AL1,02:00PM - 03:20PM,TR,160 English Building,"Rijo Sanchez, A"
AAS 281,Lecture-Discussion,A,02:00PM - 03:20PM,TR,310 David Kinley Hall,"Mumford, K"
AAS 283,Lecture-Discussion,A,11:00AM - 12:20PM,MW,311 Gregory Hall,"Espiritu, A"
AAS 286,Lecture-Discussion,P,10:00AM - 11:40AM,MWF,3018 Campus Instructional Facility,
AAS 287,Lecture-Discussion,B,02:00PM - 03:20PM,TR,137 Henry Administration Bldg,"Kang, S"
AAS 288,Lecture-Discussion,MKH,03:00PM - 04:20PM,MW,336 Davenport Hall,"Khan, M"
AAS 297,Lecture-Discussion,A,05:15PM - 06:30PM,MW,132 Bevier Hall,"Chih, D"
AAS 299,Lecture-Discussion,A,11:00AM - 12:20PM,MW,162 Education Building,"Bui, K"
AAS 300,Lecture-Discussion,B,02:00PM - 03:20PM,TR,316N Mumford Hall,"Siglos, D"
AAS 310,Discussion/ Recitation,D1,02:00PM - 03:50PM,R,17 Education Building,"Haggins, G Moton, T"
AAS 310,Discussion/ Recitation,D2,02:00PM - 03:50PM,R,42A Education Building,"Galloway, M Moton, T"
AAS 310,Discussion/ Recitation,D3,02:00PM - 03:50PM,R,22 Education Building,"Moton, T Velasco, K"
AAS 310,Discussion/ Recitation,D4,02:00PM - 03:50PM,R,241 Armory,"Moton, T Ruiz-Divas, V"
AAS 310,Discussion/ Recitation,D5,02:00PM - 03:50PM,R,111 David Kinley Hall,"Moton, T Sultan, I"
AAS 310,Lecture,L,02:00PM - 03:50PM,T,2 Education Building,"Moton, T"
AAS 315,Lecture-Discussion,A,02:00PM - 04:50PM,M,140 Henry Administration Bldg,"Bui, K"
AAS 355,Lecture-Discussion,A,02:00PM - 03:20PM,TR,103 1207 W Oregon,"Rodriguez, R"
AAS 357,Lecture-Discussion,A,11:00AM - 12:20PM,TR,103 1207 W Oregon,"de la Garza, J"
AAS 370,Lecture-Discussion,A,11:00AM - 12:20PM,TR,170 Wohlers Hall,"Kang, S"
AAS 495,Laboratory-Discussion,A,02:00PM - 04:50PM,WF,1002 Siebel Center for Design,"Ruiz, S"
AAS 539,Lecture-Discussion,A,02:00PM - 04:50PM,T,"1110 Literatures, Cultures, & Ling","Kwon, S"
AAS 589,Independent Study,A,ARRANGED,n.a.,n.a.,"Espiritu, A"
ABE 128,Laboratory,LB1,02:00PM - 04:50PM,W,M5 Turner Hall,"Leonelli, L"
ABE 128,Lecture,LB1,10:00AM - 10:50AM,MW,208 Agricultural Engr Sciences Bld,"Leonelli, L"
ABE 128,Laboratory,LB2,02:00PM - 04:50PM,R,M5 Turner Hall,"Leonelli, L Wang, Y"
ABE 128,Lecture,LB2,10:00AM - 10:50AM,MW,208 Agricultural Engr Sciences Bld,"Leonelli, L Wang, Y"
ABE 128,Laboratory,LB3,01:00PM - 03:50PM,F,M5 Turner Hall,"Leonelli, L Wang, Y"
ABE 128,Lecture,LB3,10:00AM - 10:50AM,MW,208 Agricultural Engr Sciences Bld,"Leonelli, L Wang, Y"
ABE 152,Online,WGE,01:00PM - 02:50PM,MW,n.a.,"Bhattarai, R Davidson, P Kalita, P"
ABE 199,Independent Study,,ARRANGED,n.a.,n.a.,
ABE 199,Discussion/ Recitation,AMB,ARRANGED,n.a.,Location Pending,"Boone, A"
ABE 228,Laboratory,LB1,08:00AM - 09:50AM,R,242 Agricultural Engr Sciences Bld,"Malvandi, A"
ABE 228,Lecture,LB1,02:00PM - 02:50PM,MW,208 Agricultural Engr Sciences Bld,"Malvandi, A"
ABE 228,Laboratory,LB2,10:00AM - 11:50AM,R,242 Agricultural Engr Sciences Bld,"Malvandi, A"
ABE 228,Lecture,LB2,02:00PM - 02:50PM,MW,208 Agricultural Engr Sciences Bld,"Malvandi, A"
ABE 232,Online Lecture,AW,01:00PM - 02:50PM,MWF,n.a.,"Lawson-Bulten, E Witmer, A"
ABE 341,Lecture,KDR,11:00AM - 11:50AM,F,208 Agricultural Engr Sciences Bld,"Rausch, K"
ABE 341,Lecture,KDR,11:00AM - 11:50AM,MW,208 Agricultural Engr Sciences Bld,"Rausch, K"
ABE 397,Independent Study,,ARRANGED,n.a.,n.a.,
ABE 425,Laboratory,AB1,01:00PM - 02:50PM,F,248 Agricultural Engr Sciences Bld,"Fatemi Heydarabad, A Grift, T"
ABE 425,Laboratory,AB2,03:00PM - 04:50PM,F,248 Agricultural Engr Sciences Bld,"Fatemi Heydarabad, A Grift, T"
ABE 425,Lecture-Discussion,AE1,09:30AM - 10:50AM,TR,272 Agricultural Engr Sciences Bld,"Grift, T"
ABE 457,Lecture-Discussion,RBH,10:00AM - 11:50AM,MW,242 Agricultural Engr Sciences Bld,"Bhattarai, R"
ABE 458,Laboratory,MCC,10:00AM - 11:50AM,MW,220 Agricultural Engr Sciences Bld,"Chu, M"
ABE 469,Discussion/ Recitation,APW,02:00PM - 02:50PM,R,248 Agricultural Engr Sciences Bld,"Lawson-Bulten, E Witmer, A"
ABE 469,Lecture-Discussion,APW,12:30PM - 01:50PM,TR,248 Agricultural Engr Sciences Bld,"Lawson-Bulten, E Witmer, A"
ABE 483,Lecture,AL1,09:30AM - 10:50AM,MW,248 Agricultural Engr Sciences Bld,"Kamruzzaman, M"
ABE 497,Independent Study,,ARRANGED,n.a.,n.a.,
ABE 498,Independent Study,,ARRANGED,n.a.,n.a.,
